City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao jose da coroa grande,-8.8978,-35.1478,24.1,80,34,4.42,BR,1731303325
1,saipan,15.1355,145.701,31.39,81,40,5.14,MP,1731303326
2,yellowknife,62.456,-114.3525,-13.71,96,75,4.12,CA,1731303067
3,west island,-12.1568,96.8225,28.99,74,40,7.72,CC,1731303328
4,puerto natales,-51.7236,-72.4875,5.36,88,96,3.1,CL,1731303330
5,adamstown,-25.066,-130.1015,21.57,74,100,4.01,PN,1731303331
6,bilibino,68.0546,166.4372,-25.07,100,87,1.52,RU,1731303332
7,edinburgh of the seven seas,-37.0676,-12.3116,16.18,90,93,16.46,SH,1731303333
8,nachingwea,-10.3833,38.7667,27.43,54,3,2.78,TZ,1731303334
9,waitangi,-43.9535,-176.5597,13.23,91,77,7.15,NZ,1731303337
10,ust-nera,64.5667,143.2,-27.3,100,92,1.28,RU,1731303338
11,punta arenas,-53.15,-70.9167,3.06,87,20,3.09,CL,1731303339
12,port-aux-francais,-49.35,70.2167,5.06,87,74,8.54,TF,1731303340
13,severo-yeniseyskiy,60.3725,93.0408,-2.77,89,100,5.18,RU,1731303342
14,muynoq,43.7683,59.0214,10.36,66,23,3.83,UZ,1731303343
15,kamyshlov,56.8428,62.7111,-5.39,80,18,4.97,RU,1731303344
16,pisco,-13.7,-76.2167,19.03,77,0,3.6,PE,1731303345
17,olonkinbyen,70.9221,-8.7187,0.73,98,100,6.55,SJ,1731303347
18,mazamet,43.49,2.373,11.79,94,100,3.6,FR,1731303348
19,nar'yan-mar,67.6713,53.087,-12.09,90,63,2.15,RU,1731303349
20,margaret river,-33.95,115.0667,17.4,62,16,5.93,AU,1731303350
21,praia da vitoria,38.7333,-27.0667,20.14,88,75,8.5,PT,1731303351
22,bredasdorp,-34.5322,20.0403,17.61,70,22,4.32,ZA,1731303353
23,mao,39.8885,4.2658,17.31,77,75,8.75,ES,1731303354
24,ribeira grande,38.5167,-28.7,20.99,92,42,8.94,PT,1731303355
25,keflavik,64.0049,-22.5624,7.24,87,100,6.17,IS,1731303356
26,hawaiian paradise park,19.5933,-154.9731,22.16,95,67,0.45,US,1731303357
27,taulaga,-11.0553,-171.0883,28.22,78,75,8.07,AS,1731303359
28,aykhal,66.0,111.5,-14.88,94,100,3.06,RU,1731303360
29,nova sintra,14.8667,-24.7167,26.83,71,2,7.22,CV,1731303361
30,eraan,9.0629,117.7016,29.47,74,100,2.64,PH,1731303362
31,stanley,54.868,-1.6985,5.29,88,68,1.54,GB,1731303312
32,enewetak,11.3474,162.3373,27.96,80,48,8.86,MH,1731303365
33,lihue,21.9789,-159.3672,23.77,93,100,8.75,US,1731303366
34,nemuro,43.3236,145.575,8.82,67,100,8.57,JP,1731303367
35,avarua,-21.2078,-159.775,23.03,73,40,4.63,CK,1731303368
36,thunder bay,48.4001,-89.3168,6.99,100,100,1.03,CA,1731303369
37,crane,31.3974,-102.3501,15.04,35,26,3.27,US,1731303370
38,vila franca do campo,37.7167,-25.4333,20.23,99,81,6.28,PT,1731303372
39,menomonie,44.8755,-91.9193,9.27,91,75,4.49,US,1731303373
40,shar,49.5886,81.0453,1.06,97,100,9.42,KZ,1731303374
41,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.51,GF,1731303375
42,vilyuchinsk,52.9306,158.4028,-1.85,95,100,1.7,RU,1731303376
43,ushuaia,-54.8,-68.3,4.81,81,75,3.09,AR,1731303378
44,bethel,41.3712,-73.414,13.62,89,100,1.79,US,1731303379
45,constantia,44.1833,28.65,4.38,77,100,8.71,RO,1731303380
46,college,64.8569,-147.8028,-18.03,79,20,0.0,US,1731303381
47,fortuna foothills,32.6578,-114.4119,15.71,26,0,0.45,US,1731303383
48,ambon,-3.6954,128.1814,31.08,74,40,3.6,ID,1731303384
49,tralee,52.2704,-9.7026,6.93,87,31,1.72,IE,1731303385
50,tarawa,1.419,172.984,30.05,74,20,4.12,KI,1731303386
51,grytviken,-54.2811,-36.5092,-1.26,88,100,1.07,GS,1731303387
52,uturoa,-16.7333,-151.4333,26.65,84,42,8.28,PF,1731303388
53,east london,-33.0153,27.9116,16.52,94,100,2.57,ZA,1731303390
54,longyearbyen,78.2186,15.6401,-3.09,100,100,4.12,SJ,1731303391
55,biltine,14.5333,20.9167,25.22,25,64,7.76,TD,1731303392
56,strathmore,51.0501,-113.3852,1.07,100,89,10.29,CA,1731303000
57,praya,14.9215,-23.5087,25.3,65,20,5.14,CV,1731303394
58,port alfred,-33.5906,26.891,16.21,96,100,3.7,ZA,1731303396
